INSTANCE MEMORY_REQUIRED ITERATIONS DIRECTORY_SIZE TOTAL_2D_GRIDPOINTS TOTAL_3D_GRIDPOINTS  cores-1 cores-2 cores-4 cores-6 cores-8 cores-16 cores-32 cores-64 
SAUDI1_ScaleXY_4 178 176 210944 744 22320 1.0 1.13024662811 0.839594427361 --- 0.881615805277 0.392629004976 0.207567019673 --- 
SAUDI1_none_none 2765 176 2831155 11616 360096 1.0 1.95224447315 2.16193948963 --- 2.08292870188 1.55818982804 0.901227343402 --- 
SimpleSMTest_none_none 100 12 14336 441 7497 1.0 1.00635836579 1.19555529184 --- 1.18125287872 0.734946073277 0.25555166533 --- 
TS_3D_COUPLED_SGI_none_none 100 --- 25600 --- --- 1.0 0.482761843739 0.498324451511 --- 0.378955712256 0.437315156825 0.216249775247 0.352495861122 
TemperatureErosionTest_ScaleXY_2 100 --- 8089 676 14872 1.0 0.862736632818 0.787030451173 --- 0.62098258472 0.398969943541 0.194851639673 --- 
TemperatureErosionTest_none_none 100 --- 27648 2601 57222 1.0 0.811538509797 0.718217368479 --- 0.644534856815 0.449621968888 0.226761181604 --- 
Thermal_ScaleXY_2 100 --- 7340032 48972 2889348 1.0 0.645429701191 0.721592720276 --- 0.807248631396 0.629826248143 0.682430429486 --- 
Thermal_ScaleXY_4 100 --- 1887436 12296 725464 1.0 1.07577376878 1.06880864577 --- 1.27529879758 1.34278501424 1.31781475574 --- 
Thermal_ScaleXY_8 100 --- 490496 3074 181366 1.0 0.658301841867 0.856855462153 --- 0.824026934353 0.881495883029 0.592143977766 --- 
Thermal_none_none 100 --- 29360128 --- --- 1.0 0.920189004007 0.953346728185 --- 0.862765853044 1.08261707994 0.860719178563 0.570718665351 
Tutorial_ScaleXY_2 100 23 43008 729 23328 1.0 1.51387045845 2.05361457361 --- 2.12594131248 1.15455458667 0.826732929673 --- 
Tutorial_none_none 108 23 143360 2862 91584 1.0 1.81821341307 3.21932252826 --- 4.28037810156 4.60500496404 3.20860453419 1.72561366477 
Vicksburg_Release_ScaleXY_2 310 29 249856 7680 261120 1.0 1.43799691455 1.86244797683 --- 1.89809634185 1.99981288128 1.16538543161 --- 
Vicksburg_Release_ScaleXY_4 100 29 65536 1920 61440 1.0 1.10921884006 1.50100893741 --- 0.757223583345 0.622890498406 0.416589923262 --- 
Vicksburg_Release_ScaleXY_8 100 29 22528 480 15360 1.0 0.965501121471 0.873905754589 --- 0.225988228059 0.3754740406 0.16698638221 --- 
