INSTANCE  cores-1 cores-2 cores-4 cores-6 cores-8 cores-16 cores-32 cores-64 
NVG_revised_model_ScaleXY_2 0:17:53 0:10:17 0:06:17 --- 0:03:45 0:02:01 0:01:51 --- 
NVG_revised_model_ScaleXY_4 0:05:52 0:03:52 0:01:49 --- 0:01:21 0:01:04 0:01:19 --- 
NVG_revised_model_ScaleXY_8 0:01:57 0:01:32 0:01:24 --- 0:00:52 0:00:48 0:01:19 --- 
NVG_revised_model_none_none 1:10:40 0:35:28 0:17:21 --- 0:09:26 0:05:28 0:03:35 --- 
SAUDI1_ScaleXY_2 0:05:57 0:04:17 0:04:02 --- 0:04:24 0:07:43 0:14:53 --- 
SAUDI1_ScaleXY_4 0:02:54 0:02:33 0:03:27 --- 0:03:17 0:07:23 0:13:58 --- 
SAUDI1_none_none 0:23:37 0:12:05 0:10:55 --- 0:11:20 0:15:09 0:26:12 --- 
SimpleSMTest_none_none 0:00:40 0:00:40 0:00:33 --- 0:00:34 0:00:55 0:02:38 --- 
TS_3D_COUPLED_SGI_none_none 0:00:08 0:00:17 0:00:17 --- 0:00:22 0:00:19 0:00:39 0:00:24 
TemperatureErosionTest_ScaleXY_2 0:00:07 0:00:09 0:00:10 --- 0:00:12 0:00:19 0:00:40 --- 
TemperatureErosionTest_none_none 0:00:08 0:00:10 0:00:12 --- 0:00:13 0:00:19 0:00:38 --- 
Thermal_ScaleXY_2 0:00:36 0:00:55 0:00:50 --- 0:00:44 0:00:57 0:00:52 --- 
Thermal_ScaleXY_4 0:00:47 0:00:44 0:00:44 --- 0:00:37 0:00:35 0:00:36 --- 
Thermal_ScaleXY_8 0:00:28 0:00:43 0:00:33 --- 0:00:35 0:00:32 0:00:48 --- 
Thermal_none_none 0:00:50 0:00:54 0:00:52 --- 0:00:58 0:00:46 0:00:58 0:01:27 
Tutorial_ScaleXY_2 0:01:35 0:01:03 0:00:46 --- 0:00:44 0:01:22 0:01:55 --- 
Tutorial_none_none 0:05:40 0:03:07 0:01:45 --- 0:01:19 0:01:14 0:01:46 0:03:17 
Vicksburg_Release_ScaleXY_2 0:04:19 0:03:00 0:02:19 --- 0:02:16 0:02:09 0:03:42 --- 
Vicksburg_Release_ScaleXY_4 0:01:23 0:01:15 0:00:55 --- 0:01:50 0:02:14 0:03:20 --- 
Vicksburg_Release_ScaleXY_8 0:00:32 0:00:33 0:00:37 --- 0:02:23 0:01:26 0:03:13 --- 
Vicksburg_Release_none_none 0:15:24 0:10:49 0:07:50 --- 0:06:38 0:05:27 0:05:01 --- 
WR_Section1_ScaleXY_2 0:32:50 0:20:13 0:13:25 --- 0:08:00 0:04:54 0:07:14 --- 
WR_Section1_ScaleXY_4 0:09:18 0:06:11 0:04:31 --- 0:03:46 0:08:35 0:06:34 --- 
WR_Section1_ScaleXY_8 0:03:33 0:02:26 0:02:09 --- 0:02:06 0:06:03 0:07:34 --- 
WR_Section1_none_none 0:04:06 0:03:59 0:03:41 --- 0:02:51 0:03:10 0:07:02 --- 
Zeraf_2_HRes_NewRel_ScaleXY_2 3:16:36 1:56:05 1:00:51 --- 0:40:47 0:24:32 0:14:25 --- 
Zeraf_2_HRes_NewRel_ScaleXY_4 0:47:49 0:30:52 0:16:20 --- 0:10:57 0:07:32 0:06:16 --- 
Zeraf_2_HRes_NewRel_ScaleXY_8 0:12:50 0:07:42 0:04:38 --- 0:03:40 0:03:05 0:03:13 --- 
Zeraf_2_HRes_NewRel_none_none --- --- 4:08:47 --- 2:29:49 1:24:58 0:46:12 --- 
opl_245_C_ScaleXY_2 --- 1:05:41 0:32:25 --- 0:17:48 0:09:46 0:07:23 --- 
opl_245_C_ScaleXY_4 0:34:13 0:19:15 0:09:29 --- 0:05:09 0:03:24 0:04:18 --- 
opl_245_C_ScaleXY_8 0:09:47 0:06:15 0:03:08 --- 0:02:31 0:01:36 0:01:49 0:04:21 
opl_245_C_none_none --- --- 2:09:02 1:26:21 1:06:23 0:33:16 0:20:24 --- 
opl_245_ScaleXY_2 --- --- 1:40:34 --- 0:51:14 0:28:48 0:18:58 --- 
opl_245_ScaleXY_4 1:37:08 0:50:57 0:26:11 --- 0:15:25 0:11:46 0:08:49 --- 
opl_245_ScaleXY_8 0:26:53 0:14:06 0:08:49 --- 0:06:08 0:05:17 0:11:00 --- 
project1-56M78_ScaleXY_2 0:00:55 0:00:40 0:00:36 --- 0:00:35 0:00:49 --- --- 
project1-56M78_ScaleXY_4 0:00:16 0:00:19 0:00:19 --- 0:00:23 0:00:29 0:00:45 --- 
project1-56M78_ScaleXY_8 0:00:32 0:00:40 0:00:43 --- 0:00:40 0:00:54 0:00:48 --- 
project2-02M46_ScaleXY_2 0:00:10 0:00:14 0:03:46 --- 0:00:15 0:00:29 0:00:44 0:01:05 
project2-02M46_ScaleXY_4 0:00:09 0:00:12 0:00:13 --- 0:00:18 0:00:23 0:00:38 0:00:58 
project2-02M46_ScaleXY_8 0:00:09 0:00:10 0:00:11 --- 0:00:17 0:00:21 0:00:40 0:01:00 
project2-02M46_none_none 0:00:02 0:00:03 0:00:16 --- 0:00:13 0:00:14 0:00:40 0:01:09 
project3-04M96_ScaleXY_2 0:22:34 0:11:48 0:06:26 --- 0:03:53 0:02:27 0:02:22 0:02:57 
project3-04M96_ScaleXY_4 0:05:44 0:03:19 0:01:52 --- 0:01:38 0:01:09 0:01:34 0:02:01 
project3-04M96_ScaleXY_8 0:01:39 0:01:07 0:00:47 --- 0:00:56 0:00:54 0:01:19 0:04:18 
project3-04M96_none_none 1:33:43 0:46:47 --- --- 0:12:12 0:06:40 0:04:48 0:05:34 
project4-00M19_none_none 0:00:02 0:00:02 0:00:15 --- 0:00:21 0:00:26 0:00:46 0:01:08 
project5-00M38_ScaleXY_2 0:10:37 0:04:14 0:04:14 --- 0:03:53 0:04:24 0:06:10 0:07:18 
project5-00M38_ScaleXY_4 0:03:10 0:02:35 0:02:16 --- 0:03:33 0:03:25 0:04:58 0:07:22 
project5-00M38_ScaleXY_8 0:01:15 0:01:43 0:01:45 --- 0:01:51 0:02:34 0:04:19 --- 
project5-00M38_none_none 0:37:57 0:20:50 0:11:21 --- 0:07:51 0:06:14 0:08:19 0:10:08 
rashda_june4_ScaleXY_2 0:02:48 0:06:18 0:04:36 --- 0:01:50 0:02:00 0:04:29 --- 
rashda_june4_ScaleXY_4 0:03:13 0:04:54 0:01:05 --- 0:01:18 0:01:31 0:04:13 --- 
rashda_june4_none_none 0:10:38 0:06:48 0:04:23 --- 0:03:29 0:02:47 0:05:19 --- 
0FaultTest01_ScaleXY_2 0:00:04 0:00:06 0:00:07 --- 0:00:07 0:00:07 0:00:30 0:00:25 
