INSTANCE,MEMORY_REQUIRED,TOTAL_2D_GRIDPOINTS,TOTAL_3D_GRIDPOINTS,p1,p2,p4,p8,p16,p32,p64
L2_Mdst50Pct_NonGeoLoop_none_none,560,2916,253692,1,0.888888889,0.788732394,0.528301887,0.29787234,0.212927757,
Vicksburg_Release_ScaleXY_2,630,7680,261120,1,1.529411765,2.166666667,1.3,1.181818182,0.722222222,
Model3D_v5_ScaleXY_2,627,3685,265320,1,0.68,1,,0.0651341,0.257575758,
Model3D_v6_scenario8_gsy_ScaleXY_2,634,3685,269005,1,0.782608696,0.9,0.580645161,0.063157895,0.230769231,
WR_Section1_ScaleXY_8,664,1802,282914,1,0.641666667,1.184615385,0.802083333,0.28,0.305555556,
rashda_june4_ScaleXY_2,746,5248,325376,1,0.71641791,0.122762148,0.07079646,0.432432432,0.166089965,
SAUDI1_none_none,999,11616,360096,1,1.135064935,1.606617647,3.422976501,2.473584906,2.396709324,
opl_245_C_ScaleXY_8,1118,12416,372480,1,1,0.183431953,0.212328767,0.756097561,0.543859649,0.397435897
Friesian_none_none,1037,6816,463488,1,0.469879518,1.3,1.026315789,0.696428571,0.367924528,0.28057554
FriesianSMTest_none_none,1037,6816,463488,1,0.355932203,,,,,
project2-02M46_ScaleXY_2,1256,7134,470844,1,1.060606061,1.25,0.583333333,0.729166667,0.230263158,0.246478873
BrowseExtensionHigh3_ScaleXY_8,1152,4760,514080,1,0.607142857,1.545454545,1.116788321,0.884393064,0.554347826,0.401574803
BigProject-44M18_ScaleXY_8,1432,16641,515871,1,1.058823529,1.285714286,1.2,0.9,0.246575342,0.514285714
opl_245_ScaleXY_8,1540,12416,595968,1,0.171641791,0.13372093,0.696969697,0.630136986,0.163701068,
30_30_Regional_A_ScaleXY_4,1469,7344,616896,1,0.257627119,1.070422535,0.873563218,0.542857143,0.348623853,0.178403756
CA1_scenario2_none_none,1518,13795,634570,1,0.352380952,1.321428571,0.991071429,0.616666667,0.350157729,0.266826923
Zeraf_2_HRes_NewRel_ScaleXY_4,1553,15222,639324,1,0.7625,1.244897959,0.438848921,0.701149425,0.484126984,
AANVG_Reduced_TCalib5Small_none_none,1758,23125,670625,1,0.666666667,1.8,1.565217391,1.285714286,0.692307692,0.580645161
NVG_Reduced_TCalib5_none_none,1758,23125,670625,1,37,1.541666667,0.333333333,0.212643678,0.755102041,
NVG_ReducedArea_25oct06_none_none,1850,23125,670625,1,1.323529412,1.8,1.25,1.451612903,0.957446809,
NVG_2004_TEST_ScaleXY_2,1688,14803,680938,1,1.310344828,1.652173913,0.273381295,0.255033557,,
project1-56M78_ScaleXY_8,1679,9225,691875,1,0.22519084,0.24789916,0.232283465,0.634408602,0.50862069,
LunskoyeDeep_test_GSY_ScaleXY_2,1779,10980,724680,1,1.1,1.222222222,1.294117647,0.88,0.611111111,0.468085106
Thermal_ScaleXY_4,1599,12296,725464,1,0.268065268,0.269953052,0.445736434,0.315934066,0.566502463,
LunskoyeDeepHT_ScaleXY_2,1801,10980,757620,1,1.043478261,1.263157895,1.142857143,0.705882353,0.461538462,0.380952381
LunskoyeDeepL4_ScaleXY_2,1801,10980,757620,1,1.041666667,1.315789474,0.925925926,0.510204082,0.555555556,0.373134328
NVG_revised_model_ScaleXY_2,2340,24883,870905,1,1.4,0.538461538,0.486111111,1.166666667,1.060606061,
project3-04M96_ScaleXY_2,2340,24883,870905,1,1.074074074,1.45,1.035714286,1.526315789,0.783783784,0.591836735
Gron_Olaf_nod_newHC_ScaleXY_2,1620,17604,880200,1,0.852941176,0.555023923,0.608923885,,0.103386809,0.212844037
K3_CBM_DIONISOS_SAND1_ScaleXY_2,1988,7644,894348,1,1.079545455,1.319444444,1.376811594,0.913461538,0.608974359,0.433789954
K3AllSand_ScaleXY_2,1988,7644,894348,1,0.893333333,1.155172414,1.015151515,0.598214286,0.426751592,0.288793103
Greater_Mars_Ursa_none_none,2085,8760,954840,1,0.572580645,1.42,1.245614035,0.797752809,0.533834586,0.38172043
Vicksburg_Release_none_none,2520,30720,1044480,1,2.58,6.142857143,5.16,4.961538462,3.225,
