INSTANCE MEMORY_REQUIRED ITERATIONS DIRECTORY_SIZE TOTAL_2D_GRIDPOINTS TOTAL_3D_GRIDPOINTS  cores-1 cores-2 cores-4 cores-8 cores-16 cores-32 cores-64 
Friesian_ScaleXY_8 100 23 58368 108 6804 1.0 0.134831460674 0.666666666667 0.413793103448 0.272727272727 0.104347826087 --- 
Friesian_none_none 1037 23 173056 6816 463488 1.0 0.469879518072 1.3 1.02631578947 0.696428571429 0.367924528302 0.280575539568 
Greater_Mars_Ursa_ScaleXY_2 555 25 513620 2331 249417 1.0 0.212598425197 1.03846153846 0.692307692308 0.45 --- 0.160714285714 
Greater_Mars_Ursa_ScaleXY_4 145 25 154784 608 62624 1.0 0.165217391304 0.791666666667 0.527777777778 0.202127659574 0.172727272727 0.114457831325 
Greater_Mars_Ursa_ScaleXY_8 100 25 106496 160 15200 1.0 0.131578947368 0.652173913043 0.394736842105 0.230769230769 0.104895104895 --- 
Greater_Mars_Ursa_none_none 2085 25 1887436 8760 954840 1.0 0.572580645161 1.42 1.24561403509 0.797752808989 0.533834586466 0.381720430108 
Gron_Olaf_nod_newHC_ScaleXY_2 1620 53 7314700 17604 880200 1.0 0.852941176471 0.555023923445 0.608923884514 --- 0.103386809269 0.212844036697 
Gron_Olaf_nod_newHC_ScaleXY_4 408 53 2446583 4428 221400 1.0 0.837837837838 0.446685878963 0.430555555556 0.260942760943 0.200258397933 0.165598290598 
Gron_Olaf_nod_newHC_ScaleXY_8 102 53 1220661 1107 50922 1.0 0.38961038961 0.338028169014 0.234833659491 0.263157894737 0.201342281879 0.122574055158 
Gron_Olaf_nod_newHC_none_none 4680 53 18874368 50861 2593911 1.0 0.92268907563 0.871428571429 0.795652173913 0.840735068913 0.632488479263 0.379668049793 
HB_test_sand_none_none 100 8 6553 202 4646 1.0 0.129032258065 0.142857142857 0.266666666667 0.153846153846 0.137931034483 0.1 
HPHTLwrRchLwTOC_ScaleXY_2 100 41 151720 676 30420 1.0 0.6 0.666666666667 0.461538461538 0.289156626506 0.1875 0.126984126984 
HPHTLwrRchLwTOC_ScaleXY_4 100 41 101376 169 7098 1.0 0.363636363636 0.592592592593 0.242424242424 0.197530864198 0.110344827586 --- 
HPHTLwrRchLwTOC_ScaleXY_8 100 41 61440 49 2058 1.0 --- 0.615384615385 0.347826086957 0.14953271028 --- --- 
HPHTLwrRchLwTOC_none_none 307 41 499712 2601 117045 1.0 0.9 0.84375 --- 0.169811320755 0.16875 0.138461538462 
Hohonu_2d_v1_200mA_none_none 140 27 164864 1186 56928 1.0 1.06060606061 0.614035087719 0.486111111111 0.3125 0.195530726257 0.130111524164 
IOtest-95M00_ScaleXY_2 47000 38 54361120 250000 20500000 1.0 --- --- 8.0 12.2258064516 14.7902439024 17.8879056047 
IOtest-95M00_ScaleXY_4 11750 26 3774873 62500 5125000 1.0 2.0 3.29411764706 5.6312849162 6.90410958904 6.37974683544 2.1310782241 
IOtest-95M00_ScaleXY_8 2938 38 3749334 15625 1281250 1.0 1.77064220183 2.64383561644 3.50909090909 3.21666666667 3.11290322581 2.64383561644 
IOtest-95M00_none_none 188000 38 59768832 1000000 82000000 1.0 --- --- --- --- 32.0 46.8273291925 
K3AllSand_ScaleXY_2 1988 25 1848877 7644 894348 1.0 0.893333333333 1.15517241379 1.01515151515 0.598214285714 0.426751592357 0.288793103448 
K3AllSand_ScaleXY_4 503 25 504112 1932 224112 1.0 0.782608695652 0.620689655172 0.666666666667 0.297520661157 0.24 0.165898617512 
K3AllSand_ScaleXY_8 126 25 169480 483 55062 1.0 0.733333333333 1.06451612903 0.66 0.336734693878 0.230769230769 0.146666666667 
K3AllSand_none_none 5635 25 5033164 21672 2448936 1.0 1.16197183099 1.61764705882 1.4347826087 1.25 0.882352941176 0.676229508197 
K3_CBM_DIONISOS_SAND1_ScaleXY_2 1988 25 2224660 7644 894348 1.0 1.07954545455 1.31944444444 1.3768115942 0.913461538462 0.608974358974 0.433789954338 
K3_CBM_DIONISOS_SAND1_ScaleXY_4 503 25 696633 1932 224112 1.0 0.980769230769 1.30769230769 0.910714285714 0.520408163265 0.333333333333 0.238317757009 
K3_CBM_DIONISOS_SAND1_ScaleXY_8 126 25 195132 483 55062 1.0 0.764705882353 0.838709677419 0.530612244898 0.295454545455 0.171052631579 0.12380952381 
K3_CBM_DIONISOS_SAND1_none_none 5635 25 5976883 21672 2448936 1.0 1.22651933702 1.8813559322 1.96460176991 1.70769230769 1.28323699422 0.913580246914 
L2_Mdst50Pct_NonGeoLoop_none_none 560 31 793600 2916 253692 1.0 0.888888888889 0.788732394366 0.528301886792 0.297872340426 0.212927756654 --- 
LargeSMTest_ScaleXY_2 101 17 69824 1728 29376 1.0 0.642857142857 0.75 0.428571428571 0.36 0.204545454545 0.115384615385 
LargeSMTest_ScaleXY_4 100 13 16528 432 7344 1.0 0.538461538462 0.583333333333 0.466666666667 0.212121212121 0.175 0.162790697674 
LargeSMTest_ScaleXY_8 100 17 16384 108 1836 1.0 0.545454545455 0.6 0.285714285714 0.222222222222 0.139534883721 --- 
LargeSMTest_none_none 396 17 45056 6816 115872 1.0 0.764705882353 0.928571428571 0.764705882353 0.5 0.276595744681 0.2 
LunskoyeDeepHT_ScaleXY_2 1801 14 991931 10980 757620 1.0 1.04347826087 1.26315789474 1.14285714286 0.705882352941 0.461538461538 0.380952380952 
LunskoyeDeepHT_ScaleXY_4 451 14 254176 2745 183915 1.0 0.642857142857 0.692307692308 0.529411764706 0.28125 0.191489361702 0.140625 
LunskoyeDeepHT_ScaleXY_8 117 14 90700 713 46345 1.0 0.6 0.6 0.375 0.193548387097 0.133333333333 0.0983606557377 
LunskoyeDeepHT_none_none 7203 14 470016 43920 3074400 1.0 2.0 3.08695652174 3.3023255814 3.02127659574 2.32786885246 1.84415584416 
LunskoyeDeepL4_ScaleXY_2 1801 14 991931 10980 757620 1.0 1.04166666667 1.31578947368 0.925925925926 0.510204081633 0.555555555556 0.373134328358 
LunskoyeDeepL4_ScaleXY_4 451 14 254168 2745 183915 1.0 0.818181818182 0.75 0.5 0.257142857143 0.166666666667 0.147540983607 
LunskoyeDeepL4_ScaleXY_8 117 14 90700 713 46345 1.0 0.7 0.7 0.4375 0.2 0.14 0.112903225806 
LunskoyeDeepL4_none_none 7203 14 3670016 43920 3074400 1.0 2.0 3.20833333333 3.75609756098 3.58139534884 2.56666666667 2.16901408451 
LunskoyeDeep_test_GSY_ScaleXY_2 1779 12 776904 10980 724680 1.0 1.1 1.22222222222 1.29411764706 0.88 0.611111111111 0.468085106383 
LunskoyeDeep_test_GSY_ScaleXY_4 445 12 188132 2745 175680 1.0 0.769230769231 0.833333333333 0.833333333333 0.434782608696 0.263157894737 0.222222222222 
LunskoyeDeep_test_GSY_ScaleXY_8 116 12 67188 713 44206 1.0 0.555555555556 0.555555555556 0.357142857143 0.217391304348 0.135135135135 0.102040816327 
LunskoyeDeep_test_GSY_none_none 7116 12 2726297 43920 2898720 1.0 2.0 3.08571428571 3.6 2.76923076923 2.45454545455 2.03773584906 
LunskoyeV2005_08_ScaleXY_2 352 2 8492 10980 43920 1.0 2.0 2.0 2.0 1.5 1.2 0.857142857143 
LunskoyeV2005_08_ScaleXY_4 100 2 2978 2745 10980 1.0 2.0 2.0 2.0 1.5 1.2 0.857142857143 
LunskoyeV2005_08_ScaleXY_8 100 2 1745 713 2852 1.0 2.0 2.0 2.0 1.5 1.2 1.2 
LunskoyeV2005_08_none_none 1406 2 27648 43920 175680 1.0 --- --- 8.0 6.85714285714 9.6 3.69230769231 
LwrRachmat_ScaleXY_2 100 40 128280 576 25920 1.0 0.964285714286 0.931034482759 0.54 0.325301204819 0.219512195122 --- 
LwrRachmat_ScaleXY_4 100 40 92160 144 6336 1.0 0.68 0.607142857143 0.333333333333 0.204819277108 --- --- 
LwrRachmat_ScaleXY_8 100 40 56320 36 1548 1.0 0.925925925926 0.961538461538 0.568181818182 0.367647058824 --- --- 
LwrRachmat_none_none 259 40 422912 2304 103680 1.0 1.02941176471 1.06060606061 0.603448275862 0.4375 0.161290322581 0.191256830601 
Model3D_v5_ScaleXY_2 627 15 310156 3685 265320 1.0 0.68 1.0 --- 0.0651340996169 0.257575757576 --- 
Model3D_v5_ScaleXY_4 162 15 95148 952 66640 1.0 0.823529411765 1.0 0.608695652174 0.0578512396694 0.0660377358491 --- 
Model3D_v5_none_none 2488 15 1258291 14630 1067990 1.0 0.9 1.28571428571 1.0 0.782608695652 0.266666666667 --- 
Model3D_v6_scenario8_gsy_ScaleXY_2 634 16 348400 3685 269005 1.0 0.782608695652 0.9 0.58064516129 0.0631578947368 0.230769230769 --- 
Model3D_v6_scenario8_gsy_ScaleXY_4 164 16 110132 952 67592 1.0 0.48 0.631578947368 0.444444444444 0.0470588235294 0.162162162162 --- 
Model3D_v6_scenario8_gsy_none_none 2517 16 1363148 14630 1082620 1.0 0.959183673469 1.51612903226 1.23684210526 0.155629139073 0.559523809524 0.321917808219 
NVG_2004_TEST_ScaleXY_2 1688 16 179200 14803 680938 1.0 1.31034482759 1.65217391304 0.273381294964 0.255033557047 0.151394422311 --- 
NVG_2004_TEST_ScaleXY_4 429 16 286648 3762 169290 1.0 0.875 0.608695652174 --- 0.48275862069 0.311111111111 --- 
NVG_2004_TEST_ScaleXY_8 110 16 105224 957 43065 1.0 0.636363636364 0.388888888889 0.0368421052632 0.0460526315789 0.166666666667 0.109375 
NVG_2004_TEST_none_none 6751 16 3984588 59212 2723752 1.0 2.0 3.0303030303 3.84615384615 0.77519379845 3.0303030303 --- 
NVG_ReducedArea_25oct06_ScaleXY_2 469 14 249480 5859 169911 1.0 0.684210526316 0.866666666667 0.164556962025 0.351351351351 0.288888888889 --- 
NVG_ReducedArea_25oct06_ScaleXY_4 121 14 77076 1504 42112 1.0 0.769230769231 0.833333333333 0.133333333333 0.238095238095 0.232558139535 --- 
NVG_ReducedArea_25oct06_none_none 1850 14 919552 23125 670625 1.0 1.32352941176 1.8 1.25 1.45161290323 0.957446808511 --- 
NVG_Reduced_TCalib5_ScaleXY_2 446 14 172432 5859 169911 1.0 1.07142857143 1.15384615385 0.163043478261 0.254237288136 0.375 --- 
NVG_Reduced_TCalib5_ScaleXY_4 115 14 59096 1504 42112 1.0 0.615384615385 0.615384615385 0.078431372549 0.142857142857 0.205128205128 --- 
NVG_Reduced_TCalib5_none_none 1758 14 139264 23125 670625 1.0 --- 1.54166666667 0.333333333333 0.212643678161 0.755102040816 --- 
NVG_revised_model_ScaleXY_2 2340 11 1012587 24883 870905 1.0 1.4 0.538461538462 0.486111111111 1.16666666667 1.06060606061 --- 
NVG_revised_model_ScaleXY_4 593 11 278668 6300 220500 1.0 --- 0.185185185185 --- 0.10989010989 0.3125 --- 
NVG_revised_model_ScaleXY_8 151 11 107284 1596 54264 1.0 0.128205128205 0.0657894736842 0.0526315789474 0.0420168067227 0.151515151515 --- 
