INSTANCE  cores-1 cores-2 cores-4 cores-8 cores-16 cores-32 cores-64 
Vicksburg_Release_ScaleXY_4 0:00:08 0:00:14 0:00:10 0:00:15 0:00:22 0:00:36 --- 
Vicksburg_Release_ScaleXY_8 0:00:08 0:00:12 0:00:11 0:00:15 0:00:44 0:00:36 0:00:52 
Vicksburg_Release_none_none 0:02:09 0:00:50 0:00:21 0:00:25 0:00:26 0:00:40 --- 
WR_Section1_ScaleXY_2 --- 0:08:35 0:03:55 0:03:48 0:04:20 0:04:52 --- 
WR_Section1_ScaleXY_4 0:02:32 0:02:24 0:01:26 0:01:46 0:02:42 0:04:38 --- 
WR_Section1_ScaleXY_8 0:01:17 0:02:00 0:01:05 0:01:36 0:04:35 0:04:12 --- 
WR_Section1_none_none 0:00:47 0:01:05 0:00:54 0:01:55 0:02:20 0:04:24 --- 
Zeraf_2_HRes_NewRel_ScaleXY_2 --- 0:02:50 0:01:36 0:02:13 0:01:59 0:02:28 --- 
Zeraf_2_HRes_NewRel_ScaleXY_4 0:01:01 0:01:20 0:00:49 0:02:19 0:01:27 0:02:06 --- 
Zeraf_2_HRes_NewRel_ScaleXY_8 0:00:36 0:00:55 0:00:27 0:00:48 0:01:09 0:03:08 --- 
Zeraf_2_HRes_NewRel_none_none --- --- --- 0:04:22 0:04:43 0:04:18 --- 
opl_245_C_ScaleXY_2 --- --- 0:03:09 0:05:34 0:06:09 0:01:34 --- 
opl_245_C_ScaleXY_4 0:01:12 0:06:52 0:03:06 0:02:43 0:04:01 0:01:35 --- 
opl_245_C_ScaleXY_8 0:00:31 0:00:31 0:02:49 0:02:26 0:00:41 0:00:57 0:01:18 
opl_245_C_none_none --- --- --- --- 0:04:56 0:04:32 --- 
opl_245_ScaleXY_2 --- --- --- 0:03:49 0:03:14 0:03:01 --- 
opl_245_ScaleXY_4 --- 0:01:47 0:01:31 0:02:41 0:01:43 0:01:51 --- 
opl_245_ScaleXY_8 0:00:46 0:04:28 0:05:44 0:01:06 0:01:13 0:04:41 --- 
opl_245_none_none --- --- --- --- --- 0:06:38 0:06:50 
project1-56M78_ScaleXY_2 --- --- --- 0:03:53 0:03:44 0:03:17 --- 
project1-56M78_ScaleXY_4 --- 0:02:19 0:01:19 0:01:10 0:01:35 0:02:13 --- 
project1-56M78_ScaleXY_8 0:00:59 0:04:22 0:03:58 0:04:14 0:01:33 0:01:56 --- 
project1-56M78_none_none --- --- --- --- --- 0:07:05 0:07:16 
project2-02M46_ScaleXY_2 0:00:35 0:00:33 0:00:28 0:01:00 0:00:48 0:02:32 0:02:22 
project2-02M46_ScaleXY_4 0:00:22 0:00:25 0:00:23 --- 0:00:50 0:01:57 0:02:24 
project2-02M46_ScaleXY_8 0:00:16 0:00:16 0:00:18 0:01:05 0:00:44 0:02:04 0:02:21 
project2-02M46_none_none 0:01:46 0:01:23 0:00:59 0:00:57 0:01:01 0:01:23 0:02:22 
project3-04M96_ScaleXY_2 0:00:29 0:00:27 0:00:20 0:00:28 0:00:19 0:00:37 0:00:49 
project3-04M96_ScaleXY_4 0:00:11 0:00:11 0:00:10 0:00:21 0:00:16 0:00:33 0:00:44 
project3-04M96_ScaleXY_8 0:00:04 0:00:07 0:00:07 0:00:11 0:00:22 0:00:33 0:00:46 
project3-04M96_none_none --- 0:01:21 0:00:51 0:00:54 0:00:34 0:00:40 0:01:03 
project4-00M19_ScaleXY_2 --- 0:01:29 0:01:42 --- --- --- --- 
project4-00M19_ScaleXY_4 0:00:19 0:01:35 0:01:41 --- --- --- --- 
project4-00M19_ScaleXY_8 0:00:20 0:01:34 0:01:40 --- --- --- --- 
project4-00M19_none_none 0:00:15 0:01:27 0:01:37 0:01:10 0:01:28 0:03:19 0:05:00 
project5-00M38_ScaleXY_2 0:00:21 0:00:25 0:00:25 0:00:54 0:01:31 0:02:38 0:02:54 
project5-00M38_ScaleXY_4 0:00:16 0:00:20 0:00:24 0:01:36 0:01:23 0:02:08 0:03:13 
project5-00M38_ScaleXY_8 0:00:13 0:00:22 0:00:23 0:00:53 0:01:18 0:02:06 --- 
project5-00M38_none_none 0:00:37 0:00:34 0:00:33 0:01:06 0:01:28 0:02:34 0:04:15 
rashda_june4_ScaleXY_2 0:00:48 0:01:07 0:06:31 0:11:18 0:01:51 0:04:49 --- 
rashda_june4_ScaleXY_4 0:03:27 0:07:20 0:05:49 0:09:27 0:02:32 0:03:14 --- 
rashda_june4_ScaleXY_8 --- 0:03:43 --- --- --- --- --- 
rashda_june4_none_none 0:01:59 0:01:56 0:01:20 0:01:36 0:02:18 0:03:31 --- 
0FaultTest01_ScaleXY_2 0:00:01 0:00:05 0:00:03 0:00:04 0:00:04 0:00:06 0:00:12 
