INSTANCE MEMORY_REQUIRED ITERATIONS DIRECTORY_SIZE TOTAL_2D_GRIDPOINTS TOTAL_3D_GRIDPOINTS  cores-1 cores-2 cores-4 cores-8 cores-12 cores-16 cores-20 cores-32 cores-48 cores-64 
Zeraf_2_HRes_NewRel_ScaleXY_8 392 449 371712 3835 153400 1.0 --- 4.0 --- --- --- --- --- --- --- 
Zeraf_2_HRes_NewRel_none_none 24637 467 22020096 241535 10144470 1.0 --- --- --- --- --- 20.0 --- --- --- 
opl_245_C_ScaleXY_2 17670 235 8178892 196328 6086168 1.0 --- --- --- 12.0 --- --- --- --- --- 
opl_245_C_ScaleXY_4 4435 232 2097152 49276 1527556 1.0 1.77856248883 2.36226549513 --- --- --- --- --- --- --- 
opl_245_C_ScaleXY_8 1118 231 537600 12416 372480 1.0 --- 1.84106891702 --- --- --- --- --- --- --- 
opl_245_C_none_none 70493 246 33554432 783255 25064160 1.0 --- --- --- --- --- --- --- 48.0 --- 
opl_245_ScaleXY_2 24345 410 13631488 196328 9816400 1.0 --- --- --- --- --- 20.0 --- --- --- 
opl_245_ScaleXY_4 6111 360 3460300 49276 2463800 1.0 2.0 --- 5.47838827839 --- --- --- --- --- --- 
opl_245_ScaleXY_8 1540 343 870400 12416 595968 1.0 1.89614325069 2.8477451386 --- --- --- --- --- --- --- 
project1-56M78_ScaleXY_2 26433 544 15728640 145233 11473407 1.0 --- --- --- --- --- 20.0 --- --- --- 
project1-56M78_ScaleXY_4 6644 525 3774873 36505 2774380 1.0 --- 4.0 --- --- --- --- --- --- --- 
project1-56M78_ScaleXY_8 1679 509 988160 9225 691875 1.0 --- 2.04988072002 --- --- --- --- --- --- --- 
project2-02M46_ScaleXY_2 1256 385 615424 7134 470844 1.0 --- --- --- --- --- --- --- --- --- 
project2-02M46_ScaleXY_4 318 18 163840 1804 119064 1.0 --- --- --- --- --- --- --- --- --- 
project2-02M46_ScaleXY_8 100 18 2252 462 29568 1.0 --- --- --- --- --- --- --- --- --- 
project2-02M46_none_none 4758 386 7025459 27030 1783980 1.0 1.67516874351 2.90762645038 4.90237416904 --- --- --- 11.3355292051 --- --- 
project3-04M96_ScaleXY_2 2340 233 770048 24883 870905 1.0 --- --- --- --- --- --- --- --- --- 
project3-04M96_ScaleXY_4 100 232 200704 6300 220500 1.0 --- --- --- --- --- --- --- --- --- 
project3-04M96_ScaleXY_8 151 224 55296 1596 54264 1.0 --- --- --- --- --- --- --- --- --- 
project3-04M96_none_none 9328 233 9227468 99234 3473190 1.0 4325.3 --- --- --- --- --- 16.2300187617 --- --- 
project4-00M19_none_none 376 267 1032192 3834 141858 1.0 0.0831295843521 0.100098135427 --- --- --- --- --- --- --- 
project5-00M38_ScaleXY_2 143 64 123904 1920 63360 1.0 --- --- --- --- --- --- --- --- --- 
project5-00M38_ScaleXY_4 100 26 1433 480 15840 1.0 --- --- --- --- --- --- --- --- --- 
project5-00M38_ScaleXY_8 100 63 17408 120 3720 1.0 --- --- --- --- --- --- --- --- --- 
project5-00M38_none_none 569 64 1468006 7680 253440 1.0 0.146820809249 0.193893129771 --- --- --- --- --- --- --- 
rashda_june4_ScaleXY_2 746 857 955392 5248 325376 1.0 --- 4.0 --- --- --- --- --- --- --- 
rashda_june4_ScaleXY_4 187 853 257024 1312 80032 1.0 --- 4.0 --- --- --- --- --- --- --- 
rashda_june4_none_none 2940 860 3774873 20701 1283462 1.0 --- 4.0 --- --- --- --- --- --- --- 
