Requirements:  APPLICATION_NAME=generation  
INSTANCE  MAX_2D_GRIDPOINTS_PER_PROCESS  DURATION  
Acquifer-00M03_ScaleXY_8  9.0  12.2160489559  
project4-00M19_none_none  3810.996  12.2936840057  
Acquifer-00M03_ScaleXY_2  121.0  11.6317839622  
Acquifer-00M03_none_none  441.0  24.1944041252  
Acquifer-00M03_ScaleXY_4  36.0  8.02492713928  
Acquifer-00M03_ScaleXY_8  9.0  9.49505710602  
project4-00M19_none_none  3810.996  11.4357740879  
project5-00M38_ScaleXY_8  120.0  112.60352397  
project5-00M38_ScaleXY_4  480.0  190.368826151  
project5-00M38_ScaleXY_2  1920.0  637.35799408  
Acquifer-00M03_none_none  231.0  23.1633450985  
Acquifer-00M03_none_none  441.0  29.3808939457  
Acquifer-00M03_ScaleXY_2  121.0  11.461258173  
Acquifer-00M03_none_none  36.0  20.8473739624  
Acquifer-00M03_ScaleXY_2  66.0  16.3976771832  
Acquifer-00M03_ScaleXY_2  36.0  19.2825369835  
Acquifer-00M03_ScaleXY_4  36.0  7.67801308632  
Acquifer-00M03_ScaleXY_4  18.0  14.9091889858  
Acquifer-00M03_ScaleXY_4  9.0  17.5617411137  
Acquifer-00M03_ScaleXY_8  9.0  9.6219329834  
Acquifer-00M03_ScaleXY_8  6.0  14.605091095  
Acquifer-00M03_ScaleXY_8  4.0  15.7667980194  
project2-02M46_ScaleXY_8  407.022  9.96744990349  
project2-02M46_ScaleXY_8  212.058  10.160148859  
project2-02M46_ScaleXY_8  117.975  11.6856250763  
project5-00M38_ScaleXY_8  120.0  75.2907578945  
project5-00M38_ScaleXY_8  60.0  103.997750998  
project5-00M38_ScaleXY_4  120.0  136.41829896  
project5-00M38_ScaleXY_4  240.0  155.271137953  
project5-00M38_ScaleXY_8  60.0  105.347347021  
project5-00M38_ScaleXY_4  480.0  194.767920017  
project3-04M96_ScaleXY_8  399.0  47.3289220333  
project3-04M96_ScaleXY_8  798.0  67.9657509327  
project3-04M96_ScaleXY_8  1596.0  100.788925886  
project5-00M38_ScaleXY_2  480.0  254.429556131  
project5-00M38_ScaleXY_2  3840.0  387.039988041  
project2-02M46_ScaleXY_4  1623.6  11.0085039139  
